Trial,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1,0,7,4,5,10,7,8,10,18,12,11,6,2,0,0,0
2,1,1,1,3,9,9,15,12,9,11,11,6,3,7,2,0
3,0,0,4,4,6,9,8,19,14,12,10,7,4,1,2,0
4,1,1,4,5,5,15,10,15,10,13,8,8,1,2,2,0
5,1,1,3,6,6,11,9,16,9,13,8,7,7,1,2,0
6,1,2,1,4,8,11,8,11,12,11,4,13,7,7,0,0
7,0,2,4,6,6,13,3,13,16,10,9,10,4,2,1,1
8,1,2,4,2,6,11,10,19,15,10,5,9,2,0,4,0
9,0,0,6,4,4,5,10,6,17,12,11,8,8,7,2,0
10,0,2,5,8,8,10,5,14,11,12,11,5,8,0,1,0
11,0,1,2,1,8,8,12,13,15,13,9,6,7,3,0,2
12,2,2,2,7,11,11,8,12,15,5,6,8,6,2,2,1
13,1,0,1,7,9,15,11,10,8,10,11,4,3,6,4,0
14,0,0,2,3,5,8,14,15,9,12,14,5,9,3,0,1
15,1,6,1,5,2,7,13,10,9,11,14,8,10,3,0,0
16,2,2,3,6,3,11,12,12,12,12,7,6,8,3,1,0
17,0,2,2,7,9,8,9,15,17,13,7,6,2,0,3,0
18,0,3,2,3,6,14,10,19,10,14,7,5,2,4,0,1
19,0,2,3,3,8,7,13,13,7,15,8,10,7,2,1,1
20,0,1,2,4,8,7,10,18,16,8,12,5,3,4,1,1
