Sum,Percent Mean,Variance (percent squared)
3,0.00462494,1.7812647999999983e-08
4,0.01389019,5.376595799999992e-08
5,0.02780507,1.8421970200000116e-07
6,0.04630083,1.804540220000027e-07
7,0.0694359,1.2909283999999993e-07
8,0.09721845999999999,3.735788880000073e-07
9,0.11571298999999999,5.068314779999967e-07
10,0.12500161,4.2080331799998584e-07
11,0.12495801999999999,3.2392855200000816e-07
12,0.11577588000000001,3.6159075200000024e-07
13,0.09724511,2.745023579999988e-07
14,0.06945116,4.963078080000041e-07
15,0.04632746,1.557660880000016e-07
16,0.027749859999999998,1.0706584800000122e-07
17,0.0138785,3.4371240000000166e-08
18,0.0046240199999999995,2.0063272000000073e-08
