Sum,Percent Mean,Variance (percent squared)
3,0.0055000000000000005,0.000895
4,0.018500000000000003,0.006254999999999999
5,0.027999999999999997,0.003919999999999998
6,0.04650000000000001,0.0066549999999999995
7,0.06849999999999999,0.010455
8,0.09849999999999999,0.015454999999999997
9,0.099,0.015979999999999998
10,0.136,0.023080000000000003
11,0.1245,0.023095000000000004
12,0.11449999999999999,0.009094999999999999
13,0.0915,0.014455
14,0.071,0.009180000000000002
15,0.051500000000000004,0.015055000000000002
16,0.0285,0.010655000000000005
17,0.013999999999999999,0.0030800000000000003
18,0.004,0.0006799999999999998
