Sum,Percent Mean,Variance (percent squared)
3,0.0045769999999999995,8.166200000000002e-07
4,0.0140155,2.972094999999998e-06
5,0.027696500000000002,3.407855e-06
6,0.0464645,1.0301495000000014e-05
7,0.069269,8.658579999999984e-06
8,0.097596,1.9288680000000002e-05
9,0.1154655,2.234829500000006e-05
10,0.1251025,1.985257499999989e-05
11,0.12465649999999999,1.7556654999999984e-05
12,0.11630700000000001,2.6342019999999957e-05
13,0.0970825,1.7737574999999996e-05
14,0.069261,1.2013379999999984e-05
15,0.04634,1.1578400000000004e-05
16,0.027750999999999998,6.196180000000002e-06
17,0.0137815,2.881654999999998e-06
18,0.004634,7.004800000000008e-07
