Sum,Percent Mean,Variance (percent squared)
3,0.004633145,6.258589499999966e-09
4,0.013897745000000001,1.4755929500000133e-08
5,0.027780384999999998,6.15939054999996e-08
6,0.046295909999999996,7.004959799999883e-08
7,0.069452285,1.4851250549999784e-07
8,0.09718837,1.562094419999995e-07
9,0.11575603000000001,2.3220494200000318e-07
10,0.12501702,2.2781631199999698e-07
11,0.125000985,1.7468190550000133e-07
12,0.11576173000000001,2.315669020000056e-07
13,0.09718506,8.719778800000121e-08
14,0.069461065,9.719742550000228e-08
15,0.046268115000000005,8.74459254999978e-08
16,0.027773725,4.2108357499999956e-08
17,0.01389362,1.767239199999995e-08
18,0.00463481,6.682717999999961e-09
