Sum,Percent Mean,Variance (percent squared)
3,0.004667,3.7402200000000008e-06
4,0.013817000000000001,6.193019999999999e-06
5,0.027836999999999997,1.0211420000000002e-05
6,0.046256000000000005,8.834079999999994e-06
7,0.069259,1.9193980000000015e-05
8,0.09777899999999999,1.214438000000003e-05
9,0.115673,6.442981999999992e-05
10,0.124491,3.987638e-05
11,0.125631,4.068038e-05
12,0.11536700000000001,4.7587420000000006e-05
13,0.09757,2.837079999999998e-05
14,0.069177,2.169861999999996e-05
15,0.046277,9.195420000000012e-06
16,0.027596,1.5716480000000006e-05
17,0.013902000000000001,3.4967200000000013e-06
18,0.004701,1.5491799999999994e-06
