Sum,Percent Mean,Variance (percent squared)
3,0.004900000000000001,7.379999999999999e-05
4,0.015099999999999999,0.0001438
5,0.0289,0.0008018000000000004
6,0.0474,0.0006687999999999999
7,0.0685,0.0007009999999999997
8,0.0965,0.0019190000000000006
9,0.11615,0.00226455
10,0.12475,0.0023397499999999994
11,0.12165000000000001,0.0022065500000000003
12,0.1154,0.0027387999999999996
13,0.0993,0.0017702
14,0.07095,0.0010309499999999997
15,0.045450000000000004,0.00092495
16,0.02795,0.0007169500000000002
17,0.01325,0.00030175000000000004
18,0.00385,7.255000000000004e-05
