Sum,Percent Mean,Variance (percent squared)
3,0.0046403,5.940420000000002e-08
4,0.01389935,2.442865499999994e-07
5,0.027754400000000002,3.122808000000009e-07
6,0.04632075,7.046337499999924e-07
7,0.0693573,1.2328521999999938e-06
8,0.09716895,2.0888349500000052e-06
9,0.11571155,1.6124169499999804e-06
10,0.12496594999999999,1.4682249499999749e-06
11,0.12516665,1.1174805500000206e-06
12,0.11582514999999999,1.5933245499999955e-06
13,0.0971926,1.2983487999999959e-06
14,0.06944875,1.0148197500000075e-06
15,0.046239800000000005,4.89825200000002e-07
16,0.02784105,4.3101094999999984e-07
17,0.0138473,2.4682419999999944e-07
18,0.00462015,8.818655000000015e-08
