Trial,Expectation Value,Variance
1,10.278,340.788544
2,10.518000000000002,340.00518399999993
3,10.533999999999999,340.0184959999999
4,10.58,340.10240000000005
5,10.542,340.02822399999997
6,10.266000000000002,340.876096
7,10.512000000000002,340.0023039999999
8,10.600000000000001,340.1600000000001
9,10.424000000000001,340.09241599999996
10,10.448000000000002,340.043264
11,10.562000000000001,340.061504
12,10.466000000000001,340.01849599999997
13,10.328,340.473344
14,10.322000000000001,340.506944
15,10.394,340.17977599999995
16,10.564,340.06553600000007
17,10.908,342.66342399999996
18,10.45,340.03999999999996
19,10.350000000000001,340.35999999999996
20,10.334000000000001,340.44089599999995
