Trial,Expectation Value,Variance
1,10.537800000000002,340.02286144
2,10.440999999999999,340.055696
3,10.556200000000002,340.05053504
4,10.499199999999997,340.00001024
5,10.525599999999999,340.01048576000005
6,10.4764,340.00891136000007
7,10.4864,340.00295936000003
8,10.470999999999998,340.013456
9,10.4526,340.03594816
10,10.5262,340.01098304
11,10.501600000000002,340.00004096
12,10.514599999999998,340.00341056
13,10.422400000000001,340.09634816
14,10.4602,340.02534463999996
15,10.464,340.020736
16,10.532399999999999,340.01679616
17,10.448799999999999,340.04194304
18,10.498999999999999,340.000016
19,10.504800000000001,340.00036864
20,10.5372,340.02214144000004
