Trial,Expectation Value,Variance
1,10.508780000000002,340.0012334143999
2,10.481119999999997,340.0057032704
3,10.509500000000001,340.001444
4,10.504,340.000256
5,10.480440000000002,340.0061214976001
6,10.490040000000002,340.0015872256
7,10.494519999999998,340.00048048639997
8,10.493979999999999,340.0005798464
9,10.49646,340.00020050559993
10,10.481639999999999,340.0053934336001
11,10.510980000000002,340.00192896640004
12,10.514940000000001,340.0035712576
13,10.51624,340.0042198016
14,10.503779999999999,340.0002286144
15,10.498199999999999,340.00005183999997
16,10.492080000000001,340.00100362240005
17,10.491999999999997,340.0010239999999
18,10.510900000000003,340.00190096
19,10.500460000000002,340.00000338560005
20,10.497500000000002,340.00010000000015
