Trial,Expectation Value,Variance
1,10.496129999999999,340.0002396304
2,10.48927,340.0018421264
3,10.499469999999999,340.00000449439995
4,10.50303,340.0001468944
5,10.482689999999996,340.0047941776
6,10.497530000000001,340.00009761440003
7,10.50904,340.0013075456
8,10.47766,340.0079852095999
9,10.508159999999998,340.00106536960004
10,10.497729999999999,340.0000824464
11,10.49348,340.0006801664
12,10.485780000000004,340.0032353344001
13,10.520590000000004,340.0067831696
14,10.50575,340.00052900000003
15,10.507859999999999,340.00098847360005
16,10.496979999999999,340.0001459264
17,10.50357,340.00020391839996
18,10.51115,340.00198916000005
19,10.480089999999999,340.00634252960003
20,10.50151,340.0000364816
