Trial,Expectation Value,Variance
1,10.505361,340.000459845136
2,10.498897999999999,340.0000194304641
3,10.500362,340.000002096704
4,10.494527999999999,340.00047908454405
5,10.49918,340.0000107584
6,10.497304,340.0001162946561
7,10.500169,340.000000456976
8,10.50087,340.0000121104
9,10.499273000000002,340.000008456464
10,10.500983999999999,340.00001549209594
11,10.495484999999999,340.0003261636
12,10.498762000000003,340.000024522304
13,10.505511000000002,340.00048593793605
14,10.502643999999998,340.000111851776
15,10.499965,340.00000001959995
16,10.503385999999999,340.000183439936
17,10.497806,340.00007701817606
18,10.500822999999997,340.000010837264
19,10.501837000000002,340.000053993104
20,10.502307999999998,340.000085229824
