Trial,Expectation Value,Variance
1,10.500206599999999,340.000000682937
2,10.4997328,340.0000011423334
3,10.498962800000001,340.0000172125413
4,10.497743600000002,340.00008146145535
5,10.499647399999997,340.0000019892281
6,10.500290999999999,340.00000135489597
7,10.4989742,340.0000168362503
8,10.501447,340.000033500944
9,10.497665,340.00008723559995
10,10.498860599999999,340.0000207717178
11,10.5001254,340.00000025160256
12,10.500758000000003,340.000009193024
13,10.501816799999997,340.0000528121958
14,10.4991768,340.0000108425318
15,10.500226,340.000000817216
16,10.498758799999997,340.0000246492391
17,10.5023904,340.0000914241946
18,10.501096199999997,340.000019226471
19,10.502314799999999,340.00008573278467
20,10.498323199999998,340.00004498653186
