Trial,Expectation Value,Variance
1,10.504756,340.0003619125761
2,10.504197999999999,340.000281971264
3,10.508912,340.001270779904
4,10.499168,340.000011075584
5,10.502322,340.000086266944
6,10.50055,340.00000484000003
7,10.488638,340.002065520704
8,10.499792000000001,340.00000069222403
9,10.50029,340.0000013456
10,10.49708,340.00013642240003
11,10.495519999999999,340.00032112640014
12,10.502075999999999,340.000068956416
13,10.495930000000001,340.0002650384001
14,10.499906,340.000000141376
15,10.500233999999999,340.000000876096
16,10.495002000000001,340.000399680064
17,10.499724,340.00000121881595
18,10.502265999999999,340.000082156096
19,10.498690000000002,340.00002745759997
20,10.50269,340.00011577759994
