Trial,Expectation Value,Variance
1,10.860000000000001,342.07360000000006
2,10.319999999999999,340.51840000000004
3,9.7,350.24
4,10.360000000000001,340.3136
5,11.46,354.74559999999997
6,10.66,340.4096
7,10.940000000000001,343.0976
8,10.76,341.0816
9,10.540000000000001,340.0256
10,10.860000000000001,342.07360000000006
11,10.32,340.51839999999993
12,11.020000000000001,344.32640000000004
13,11.02,344.32640000000004
14,10.520000000000001,340.0064
15,10.600000000000001,340.1600000000001
16,10.18,341.63840000000005
17,10.44,340.0576
18,10.1,342.56000000000006
19,10.240000000000002,341.0816
20,11.42,353.5424
