Trial,Expectation Value,Variance
1,10.357999999999999,340.322624
2,10.421999999999999,340.097344
3,10.598,340.153664
4,10.44,340.0576
5,10.414000000000001,340.11833599999994
6,10.495000000000001,340.0004
7,10.513000000000002,340.002704
8,10.381,340.226576
9,10.485999999999999,340.003136
10,10.374,340.254016
11,10.556999999999999,340.05198399999995
12,10.586,340.118336
13,10.396999999999998,340.16974400000004
14,10.606,340.179776
15,10.497,340.0001439999999
16,10.438,340.0615039999999
17,10.485999999999999,340.003136
18,10.485000000000001,340.0036
19,10.485999999999999,340.003136
20,10.561,340.059536
