Trial,Expectation Value,Variance
1,10.499926699999998,340.00000008596624
2,10.4990297,340.0000150637135
3,10.49883,340.0000219024
4,10.4995971,340.00000259725454
5,10.500637,340.000006492304
6,10.497539699999999,340.00009684921747
7,10.4989899,340.0000163248322
8,10.501107699999999,340.0000196319886
9,10.500226300000001,340.00000081938697
10,10.5006885,340.000007584516
11,10.4997148,340.0000013014246
12,10.4997009,340.000001431373
13,10.499848799999999,340.0000003657831
14,10.4984035,340.000040780996
15,10.500011899999999,340.00000000226584
16,10.500066499999999,340.000000070756
17,10.499686699999998,340.0000015705102
18,10.501540299999998,340.0000379603854
19,10.5014352,340.0000329567846
20,10.4999579,340.0000000283586
